transaction_id,merchant_id,amount,currency,card_last_four,status,gateway_timestamp
TXN-2001,Swiggy,450.00,INR,user@okicici,captured,2026-09-01T10:00:00Z
TXN-2002,Zomato,850.50,INR,9876543210@paytm,captured,2026-09-01T10:15:00Z
TXN-2003,Reliance Retail,15499.00,INR,4242,captured,2026-09-01T11:30:00Z
TXN-2004,MakeMyTrip,8500.00,INR,1111,failed,2026-09-01T14:45:00Z
TXN-2005,Zerodha,50000.00,INR,9999,captured,2026-09-01T16:20:00Z
TXN-2006,Swiggy,120.00,INR,user@ybl,captured,2026-09-02T09:00:00Z
TXN-2007,Amazon India,2999.00,INR,5555,captured,2026-09-02T09:15:00Z
TXN-2008,Flipkart,45000.00,INR,8888,captured,2026-09-02T10:30:00Z
TXN-2009,Zomato,250.00,INR,user@okaxis,captured,2026-09-02T11:45:00Z
TXN-2010,Uber India,450.00,INR,1234,captured,2026-09-02T12:00:00Z
TXN-2011,Ola Cabs,320.00,INR,user@okhdfcbank,authorized,2026-09-02T12:15:00Z
TXN-2012,Swiggy,550.00,INR,7777,captured,2026-09-02T13:30:00Z
TXN-2013,Reliance Retail,2500.00,INR,4242,captured,2026-09-02T14:45:00Z
TXN-2014,MakeMyTrip,12500.00,INR,3333,captured,2026-09-02T16:00:00Z
TXN-2015,Zerodha,100000.00,INR,user@upi,captured,2026-09-03T09:00:00Z
TXN-2016,Amazon India,1500.00,INR,5555,failed,2026-09-03T10:15:00Z
TXN-2017,Flipkart,8999.00,INR,8888,captured,2026-09-03T11:30:00Z
TXN-2018,Zomato,650.00,INR,user@ybl,captured,2026-09-03T12:45:00Z
TXN-2019,Uber India,850.00,INR,1234,captured,2026-09-03T14:00:00Z
TXN-2020,Swiggy,350.00,INR,7777,captured,2026-09-03T15:15:00Z
TXN-2021,Reliance Retail,4500.00,INR,4242,captured,2026-09-03T16:30:00Z
TXN-2022,MakeMyTrip,25000.00,INR,3333,captured,2026-09-04T09:00:00Z
TXN-2023,Zerodha,75000.00,INR,9999,captured,2026-09-04T10:15:00Z
TXN-2024,Amazon India,500.00,INR,5555,captured,2026-09-04T11:30:00Z
TXN-2025,Flipkart,12000.00,INR,8888,captured,2026-09-04T12:45:00Z
